"Date","Price","Open","High","Low","Vol.","Change %"
"11/05/2023","34,283.10","34,092.61","34,310.36","33,859.77","1.47B","0.65%"
"10/29/2023","34,061.32","32,537.54","34,163.63","32,537.54","1.54B","5.07%"
"10/22/2023","32,417.59","32,993.02","33,272.19","32,327.20","1.82B","-2.14%"
"10/15/2023","33,127.28","33,832.42","34,147.63","33,118.12","1.48B","-1.61%"
"10/08/2023","33,670.29","33,259.84","33,957.72","33,253.69","1.34B","0.79%"
"10/01/2023","33,407.58","33,455.50","33,557.69","32,846.94","1.47B","-0.30%"
"09/24/2023","33,507.50","33,907.59","34,017.53","33,306.30","1.42B","-1.34%"
"09/17/2023","33,963.84","34,612.29","34,776.28","33,947.24","1.44B","-1.89%"
"09/10/2023","34,618.24","34,650.01","34,977.97","34,509.95","1.81B","0.12%"
"09/03/2023","34,576.59","34,843.22","34,871.26","34,291.56","1.28B","-0.75%"
"08/27/2023","34,837.71","34,441.64","35,070.21","34,441.64","1.37B","1.43%"
"08/20/2023","34,346.90","34,531.28","34,694.68","34,029.22","1.67B","-0.45%"
"08/13/2023","34,500.66","35,273.89","35,335.45","34,263.19","1.69B","-2.21%"
"08/06/2023","35,281.40","35,125.60","35,578.58","35,007.41","1.55B","0.62%"
"07/30/2023","35,065.62","35,465.97","35,679.13","35,033.76","1.50B","-1.11%"
"07/23/2023","35,459.29","35,230.79","35,645.35","35,216.58","1.66B","0.66%"
"07/16/2023","35,227.69","34,499.74","35,372.77","34,418.72","1.94B","2.08%"
"07/09/2023","34,509.03","33,705.68","34,592.26","33,705.68","1.50B","2.29%"
"07/02/2023","33,734.88","34,369.78","34,465.60","33,716.75","1.01B","-1.96%"
"06/25/2023","34,407.60","33,730.79","34,467.35","33,610.32","1.47B","2.02%"
"06/18/2023","33,727.43","34,206.66","34,206.66","33,646.49","1.33B","-1.67%"
"06/11/2023","34,299.12","33,906.80","34,588.68","33,783.55","1.95B","1.25%"
"06/04/2023","33,876.78","33,771.13","33,975.32","33,399.69","1.55B","0.34%"
"05/28/2023","33,762.76","33,103.65","33,805.00","32,704.51","1.76B","2.02%"
"05/21/2023","33,093.34","33,408.54","33,512.30","32,586.56","1.52B","-1.00%"
"05/14/2023","33,426.63","33,321.21","33,652.90","33,006.19","1.43B","0.38%"
"05/07/2023","33,300.62","33,715.15","33,772.09","33,110.61","1.28B","-1.11%"
"04/30/2023","33,674.38","34,116.81","34,257.83","32,937.50","1.45B","-1.24%"
"04/23/2023","34,098.16","33,805.04","34,104.56","33,235.85","1.59B","0.86%"
"04/16/2023","33,808.96","33,930.46","34,018.62","33,677.74","1.35B","-0.23%"
"04/09/2023","33,886.47","33,425.25","34,082.94","33,343.43","1.29B","1.20%"
"04/02/2023","33,485.29","33,245.78","33,634.72","33,245.78","1.15B","0.63%"
"03/26/2023","33,274.15","32,276.72","33,291.00","32,276.72","1.50B","3.22%"
"03/19/2023","32,237.53","31,872.33","32,761.89","31,805.18","1.71B","1.18%"
"03/12/2023","31,861.98","31,819.93","32,306.59","31,429.82","2.42B","-0.15%"
"03/05/2023","31,909.64","33,425.32","33,572.22","31,783.41","1.59B","-4.44%"
"02/26/2023","33,390.97","32,906.16","33,405.82","32,500.71","1.47B","1.75%"
"02/19/2023","32,816.92","33,699.69","33,699.69","32,643.48","1.24B","-2.99%"
"02/12/2023","33,826.69","33,887.39","34,331.47","33,517.73","1.49B","-0.13%"
"02/05/2023","33,869.27","33,874.44","34,252.57","33,591.99","1.62B","-0.17%"
"01/29/2023","33,926.01","33,909.21","34,334.70","33,581.42","1.94B","-0.15%"
"01/22/2023","33,978.08","33,439.56","34,164.33","33,273.21","1.79B","1.81%"
"01/15/2023","33,375.49","34,222.32","34,269.97","32,948.93","1.40B","-2.70%"
"01/08/2023","34,302.61","33,664.39","34,342.32","33,421.80","1.48B","2.00%"
"01/01/2023","33,630.61","33,148.90","33,710.66","32,812.33","1.45B","1.46%"
"12/25/2022","33,147.25","33,224.23","33,387.72","32,847.82","1.04B","-0.17%"
"12/18/2022","33,203.93","32,921.45","33,437.84","32,573.43","1.53B","0.86%"
"12/11/2022","32,920.46","33,519.50","34,712.28","32,654.59","2.29B","-1.66%"
"12/04/2022","33,476.46","34,335.73","34,335.73","33,418.59","1.48B","-2.77%"
"11/27/2022","34,429.88","34,275.91","34,595.51","33,583.77","1.78B","0.24%"
"11/20/2022","34,347.03","33,760.30","34,386.51","33,559.18","1.00B","1.78%"
"11/13/2022","33,745.69","33,662.05","33,987.06","33,239.75","1.69B","-0.01%"
"11/06/2022","33,747.86","32,454.10","33,817.96","32,424.99","1.96B","4.15%"
"10/30/2022","32,403.22","32,754.27","33,071.93","31,727.05","1.90B","-1.40%"
"10/23/2022","32,861.80","31,187.32","32,889.81","31,161.41","2.01B","5.72%"
"10/16/2022","31,082.56","30,059.58","31,119.27","29,997.62","1.83B","4.89%"
"10/09/2022","29,634.83","29,419.09","30,428.82","28,660.94","1.84B","1.15%"
"10/02/2022","29,296.79","28,855.25","30,454.46","28,855.25","1.75B","1.99%"
"09/25/2022","28,725.51","29,536.84","29,811.78","28,715.85","2.03B","-2.92%"
"09/18/2022","29,590.41","30,722.86","31,026.89","29,250.47","1.70B","-4.00%"
"09/11/2022","30,822.42","32,159.49","32,504.04","30,550.08","2.11B","-4.13%"
"09/04/2022","32,151.71","31,343.79","32,227.74","31,048.46","1.36B","2.66%"
"08/28/2022","31,318.44","32,188.00","32,325.16","31,182.09","1.69B","-2.99%"
"08/21/2022","32,283.40","33,586.59","33,586.59","32,278.22","1.48B","-4.22%"
"08/14/2022","33,706.74","33,710.70","34,281.36","33,582.96","1.42B","-0.16%"
"08/07/2022","33,761.05","32,877.36","33,767.09","32,702.66","1.49B","2.92%"
"07/31/2022","32,803.47","32,755.71","32,972.03","32,387.12","1.59B","-0.13%"
"07/24/2022","32,845.13","31,950.93","32,910.18","31,705.36","1.80B","2.97%"
"07/17/2022","31,899.29","31,475.98","32,219.25","30,982.97","1.63B","1.95%"
"07/10/2022","31,288.26","31,277.98","31,367.55","30,143.93","1.53B","-0.16%"
"07/03/2022","31,338.15","30,903.12","31,511.46","30,355.12","1.16B","0.77%"
"06/26/2022","31,097.26","31,533.60","31,885.09","30,431.87","1.65B","-1.28%"
"06/19/2022","31,500.68","30,074.69","31,517.29","30,074.69","1.56B","5.39%"
"06/12/2022","29,888.78","31,144.91","31,144.91","29,653.29","2.38B","-4.79%"
"06/05/2022","31,392.79","33,032.04","33,235.37","31,387.84","1.46B","-4.58%"
"05/29/2022","32,899.70","33,160.59","33,272.34","32,509.43","1.52B","-0.94%"
"05/22/2022","33,212.96","31,395.89","33,213.62","31,365.59","1.82B","6.24%"
"05/15/2022","31,261.90","32,152.15","32,689.14","30,635.76","2.20B","-2.90%"
"05/08/2022","32,196.66","32,685.17","32,752.17","31,228.22","2.31B","-2.14%"
"05/01/2022","32,899.37","32,978.49","34,117.74","32,449.87","2.10B","-0.24%"
"04/24/2022","32,977.21","33,731.65","34,106.01","32,913.15","2.23B","-2.47%"
"04/17/2022","33,811.40","34,411.49","35,492.22","33,773.39","1.66B","-1.86%"
"04/10/2022","34,451.23","34,630.27","34,889.17","34,102.81","1.34B","-0.78%"
"04/03/2022","34,721.12","34,799.98","35,112.21","34,190.95","1.64B","-0.28%"
"03/27/2022","34,818.27","34,833.03","35,372.26","34,538.25","1.77B","-0.12%"
"03/20/2022","34,861.24","34,669.85","34,942.70","34,341.81","1.74B","0.31%"
"03/13/2022","34,754.93","33,000.37","34,755.20","32,818.16","2.19B","5.50%"
"03/06/2022","32,944.19","33,579.75","33,579.75","32,578.73","2.24B","-1.99%"
"02/27/2022","33,614.80","33,870.62","34,179.07","33,107.67","2.08B","-1.30%"
"02/20/2022","34,058.75","33,974.09","34,095.74","32,272.64","1.83B","-0.06%"
"02/13/2022","34,079.18","34,694.50","35,047.79","33,976.18","1.75B","-1.90%"
"02/06/2022","34,738.06","35,108.38","35,824.28","34,620.52","1.83B","-1.00%"
"01/30/2022","35,089.74","34,691.17","35,679.20","34,496.10","1.97B","1.05%"
"01/23/2022","34,725.47","34,070.61","34,815.67","33,150.33","2.85B","1.34%"
"01/16/2022","34,265.37","35,661.76","35,661.76","34,229.55","1.71B","-4.58%"
"01/09/2022","35,911.81","36,175.21","36,513.88","35,639.91","1.87B","-0.88%"
"01/02/2022","36,231.66","36,321.59","36,952.65","36,111.53","2.00B","-0.29%"
"12/26/2021","36,338.30","35,954.48","36,679.44","35,954.48","1.13B","1.08%"
"12/19/2021","35,950.56","35,222.12","36,060.99","34,665.50","1.28B","1.65%"
"12/12/2021","35,365.44","35,958.93","36,189.83","35,284.26","2.58B","-1.68%"
"12/05/2021","35,970.99","34,633.43","35,982.69","34,633.43","2.00B","4.02%"
"11/28/2021","34,580.08","35,017.71","35,287.91","34,006.98","2.51B","-0.91%"
"11/21/2021","34,899.34","35,631.41","35,929.66","34,749.80","1.43B","-1.97%"
"11/14/2021","35,601.98","36,128.83","36,316.61","35,555.37","1.80B","-1.38%"
"11/07/2021","36,100.31","36,416.46","36,565.73","35,915.27","1.39B","-0.63%"
"10/31/2021","36,327.95","35,833.65","36,484.75","35,797.97","1.52B","1.42%"
"10/24/2021","35,819.56","35,692.62","35,892.92","35,490.43","1.71B","0.40%"
"10/17/2021","35,677.02","35,221.02","35,765.02","35,035.94","1.52B","1.08%"
"10/10/2021","35,294.76","34,723.79","35,320.97","34,115.10","1.56B","1.58%"
"10/03/2021","34,746.25","34,312.96","34,975.19","33,821.58","1.55B","1.22%"
"09/26/2021","34,326.46","34,739.27","35,061.12","33,785.54","1.75B","-1.36%"
"09/19/2021","34,798.00","34,459.72","34,879.78","33,613.03","1.59B","0.62%"
"09/12/2021","34,584.88","34,665.50","34,990.36","34,510.30","1.85B","-0.07%"
"09/05/2021","34,607.72","35,373.24","35,373.24","34,599.61","1.15B","-2.15%"
"08/29/2021","35,369.09","35,471.80","35,510.71","35,269.40","1.34B","-0.24%"
"08/22/2021","35,455.80","35,160.97","35,501.14","35,160.97","1.20B","0.96%"
"08/15/2021","35,120.08","35,490.83","35,631.19","34,690.25","1.50B","-1.11%"
"08/08/2021","35,515.38","35,229.67","35,610.57","35,041.24","1.17B","0.87%"
"08/01/2021","35,208.51","34,968.56","35,246.79","34,714.33","1.20B","0.78%"
"07/25/2021","34,935.47","35,055.86","35,171.52","34,871.13","1.45B","-0.36%"
"07/18/2021","35,061.55","34,528.48","35,095.33","33,741.76","1.78B","1.08%"
"07/11/2021","34,687.85","34,836.75","35,090.01","34,647.82","1.62B","-0.52%"
"07/04/2021","34,870.16","34,790.16","34,893.72","34,145.59","1.29B","0.24%"
"06/27/2021","34,786.35","34,428.10","34,821.93","34,186.13","1.44B","1.02%"
"06/20/2021","34,433.84","33,312.07","34,501.02","33,312.07","1.60B","3.44%"
"06/13/2021","33,290.08","34,472.52","34,472.52","33,271.93","1.85B","-3.45%"
"06/06/2021","34,479.60","34,766.20","34,820.91","34,328.65","1.38B","-0.80%"
"05/30/2021","34,756.39","34,584.19","34,849.32","34,334.41","1.13B","0.66%"
"05/23/2021","34,529.45","34,253.87","34,631.11","34,253.87","1.61B","0.94%"
"05/16/2021","34,207.84","34,375.29","34,415.48","33,473.80","1.58B","-0.51%"
"05/09/2021","34,382.13","34,785.27","35,091.56","33,555.22","1.83B","-1.14%"
"05/02/2021","34,777.76","33,904.89","34,811.39","33,765.68","1.59B","2.67%"
"04/25/2021","33,874.85","34,044.23","34,148.94","33,744.28","1.72B","-0.50%"
"04/18/2021","34,043.49","34,182.38","34,182.38","33,687.01","1.66B","-0.46%"
"04/11/2021","34,200.67","33,775.06","34,256.75","33,545.84","1.65B","1.18%"
"04/04/2021","33,800.60","33,222.38","33,810.87","33,222.38","1.55B","1.95%"
"03/28/2021","33,153.21","33,087.55","33,259.00","32,905.13","1.40B","0.24%"
"03/21/2021","33,072.88","32,601.82","33,098.83","32,071.41","1.97B","1.36%"
"03/14/2021","32,627.97","32,798.84","33,227.78","32,505.07","2.41B","-0.46%"
"03/07/2021","32,778.64","31,512.15","32,793.32","31,512.15","2.12B","4.07%"
"02/28/2021","31,496.30","31,065.90","31,668.34","30,547.53","2.20B","1.82%"
"02/21/2021","30,932.37","31,381.12","32,009.64","30,911.37","2.26B","-1.78%"
"02/14/2021","31,494.32","31,472.08","31,647.53","31,285.32","1.36B","0.11%"
"02/07/2021","31,458.40","31,191.20","31,543.82","31,191.20","1.52B","1.00%"
"01/31/2021","31,148.24","30,054.73","31,252.18","30,014.97","1.63B","3.89%"
"01/24/2021","29,982.62","30,989.85","31,121.42","29,856.30","2.43B","-3.27%"
"01/17/2021","30,996.98","30,887.42","31,272.22","30,865.03","1.63B","0.59%"
"01/10/2021","30,814.26","31,015.37","31,223.78","30,612.67","2.01B","-0.91%"
"01/03/2021","31,097.97","30,627.47","31,193.40","29,881.82","2.14B","1.61%"
"12/27/2020","30,606.48","30,283.23","30,637.47","30,274.24","1.25B","1.35%"
"12/20/2020","30,199.87","30,159.00","30,304.14","29,755.53","1.26B","0.07%"
"12/13/2020","30,179.05","30,123.91","30,343.59","29,849.15","2.28B","0.44%"
"12/06/2020","30,046.37","30,233.03","30,319.70","29,820.84","1.79B","-0.57%"
"11/29/2020","30,218.26","29,854.51","30,218.26","29,463.64","2.16B","1.03%"
"11/22/2020","29,910.37","29,332.82","30,116.51","29,332.82","1.33B","2.21%"
"11/15/2020","29,263.48","29,672.36","29,964.29","29,228.38","1.82B","-0.73%"
"11/08/2020","29,479.81","29,467.90","29,933.83","28,902.13","2.31B","4.08%"
"11/01/2020","28,323.40","26,691.28","28,495.05","26,691.28","1.91B","6.87%"
"10/25/2020","26,501.60","28,185.82","28,185.82","26,143.77","2.22B","-6.47%"
"10/18/2020","28,335.57","28,633.55","28,711.93","28,040.18","1.70B","-0.95%"
"10/11/2020","28,606.31","28,671.12","28,957.90","28,181.54","2.08B","0.07%"
"10/04/2020","28,586.90","27,825.42","28,676.29","27,728.03","1.73B","3.27%"
"09/27/2020","27,682.81","27,362.14","28,041.46","27,338.09","1.94B","1.87%"
"09/20/2020","27,173.96","27,484.71","27,484.71","26,537.01","2.25B","-1.75%"
"09/13/2020","27,657.42","27,718.74","28,364.77","27,487.97","2.36B","-0.03%"
"09/06/2020","27,665.64","27,925.23","28,206.21","27,447.08","1.94B","-1.66%"
"08/30/2020","28,133.31","28,643.66","29,199.35","27,664.68","2.85B","-1.82%"
"08/23/2020","28,653.87","28,077.58","28,733.35","28,041.75","1.83B","2.59%"
"08/16/2020","27,930.33","27,970.05","27,999.81","27,526.25","1.56B","0.00%"
"08/09/2020","27,931.02","27,488.21","28,154.88","27,488.21","1.78B","1.81%"
"08/02/2020","27,433.48","26,542.32","27,456.24","26,534.38","1.81B","3.80%"
"07/26/2020","26,428.32","26,447.67","26,625.46","25,992.28","1.96B","-0.16%"
"07/19/2020","26,469.89","26,660.29","27,035.24","26,402.86","2.01B","-0.76%"
"07/12/2020","26,671.95","26,225.07","27,071.33","25,994.98","1.81B","2.29%"
"07/05/2020","26,075.30","25,996.08","26,297.53","25,523.51","1.76B","0.96%"
"06/28/2020","25,827.36","25,152.45","26,204.41","25,096.16","1.52B","3.25%"
"06/21/2020","25,015.55","25,865.08","26,314.97","24,971.03","2.26B","-3.31%"
"06/14/2020","25,871.46","25,270.39","26,611.03","24,843.18","2.30B","1.04%"
"06/07/2020","25,605.54","27,232.93","27,580.21","25,078.41","2.44B","-5.55%"
"05/31/2020","27,110.98","25,342.99","27,338.30","25,220.66","2.02B","6.81%"
"05/24/2020","25,383.11","24,781.84","25,758.79","24,781.84","1.77B","3.75%"
"05/17/2020","24,465.16","24,059.98","24,718.46","24,059.98","1.84B","3.29%"
"05/10/2020","23,685.42","24,256.45","24,382.09","22,789.62","2.16B","-2.65%"
"05/03/2020","24,331.32","23,581.55","24,349.90","23,361.16","1.82B","2.56%"
"04/26/2020","23,723.69","23,866.15","24,764.77","23,645.30","2.17B","-0.22%"
"04/19/2020","23,775.27","24,095.10","24,108.69","22,941.88","2.04B","-1.93%"
"04/12/2020","24,242.49","23,698.93","24,264.21","23,095.35","2.34B","2.21%"
"04/05/2020","23,719.37","21,693.63","24,008.99","21,693.63","2.25B","12.67%"
"03/29/2020","21,052.53","21,678.22","22,480.37","20,735.02","2.62B","-2.70%"
"03/22/2020","21,636.78","19,028.36","22,595.06","18,213.65","3.72B","12.84%"
"03/15/2020","19,173.98","20,917.53","21,768.28","18,917.46","4.11B","-17.30%"
"03/08/2020","23,185.62","24,992.36","25,020.99","21,154.46","3.82B","-10.36%"
"03/01/2020","25,864.78","25,590.51","27,102.34","25,226.62","2.82B","1.79%"
"02/23/2020","25,409.36","28,402.93","28,402.93","24,681.01","3.04B","-12.36%"
"02/16/2020","28,992.41","29,282.78","29,409.09","28,892.70","1.11B","-1.38%"
"02/09/2020","29,398.08","28,995.66","29,568.57","28,995.66","1.38B","1.02%"
"02/02/2020","29,102.51","28,319.65","29,408.05","28,319.65","1.52B","3.00%"
"01/26/2020","28,256.03","28,542.49","28,944.24","28,169.53","1.73B","-2.53%"
"01/19/2020","28,989.73","29,269.05","29,341.21","28,843.31","1.29B","-1.22%"
"01/12/2020","29,348.10","28,869.01","29,373.62","28,819.43","1.41B","1.82%"
"01/05/2020","28,823.77","28,465.50","29,009.07","28,418.63","1.35B","0.66%"
"12/29/2019","28,634.88","28,654.76","28,872.80","28,376.49","872.30M","-0.04%"
"12/22/2019","28,645.26","28,491.78","28,701.66","28,491.78","669.66M","0.67%"
"12/15/2019","28,455.09","28,191.67","28,608.64","28,191.67","1.73B","1.14%"
"12/08/2019","28,135.38","27,987.05","28,290.73","27,801.80","1.19B","0.43%"
"12/01/2019","28,015.06","28,109.74","28,109.84","27,325.13","1.17B","-0.13%"
"11/24/2019","28,051.41","27,917.77","28,174.97","27,917.77","899.05M","0.63%"
"11/17/2019","27,875.62","27,993.22","28,090.21","27,675.28","1.22B","-0.46%"
"11/10/2019","28,004.89","27,580.66","28,004.89","27,517.67","1.29B","1.17%"
"11/03/2019","27,681.24","27,402.06","27,774.67","27,402.06","1.30B","1.22%"
"10/27/2019","27,347.36","27,040.33","27,347.43","26,918.29","1.34B","1.44%"
"10/20/2019","26,958.06","26,852.67","27,015.37","26,714.34","1.29B","0.70%"
"10/13/2019","26,770.20","26,766.43","27,120.11","26,749.18","1.16B","-0.17%"
"10/06/2019","26,816.59","26,502.33","27,013.97","26,139.80","1.14B","0.91%"
"09/29/2019","26,573.72","26,852.33","27,046.21","25,743.46","1.29B","-0.92%"
"09/22/2019","26,820.25","26,851.45","27,079.68","26,704.96","1.21B","-0.43%"
"09/15/2019","26,935.07","27,146.06","27,272.17","26,899.15","1.39B","-1.05%"
"09/08/2019","27,219.52","26,866.23","27,306.73","26,717.05","1.38B","1.57%"
"09/01/2019","26,797.46","26,198.26","26,860.87","25,978.22","892.30M","1.49%"
"08/25/2019","26,403.28","25,826.05","26,514.62","25,637.43","1.12B","3.02%"
"08/18/2019","25,628.90","26,020.06","26,388.78","25,507.18","1.29B","-0.99%"
"08/11/2019","25,886.01","26,169.91","26,426.97","25,339.60","1.48B","-1.53%"
"08/04/2019","26,287.44","26,259.23","26,413.36","25,440.39","1.62B","-0.75%"
"07/28/2019","26,485.01","27,192.24","27,281.65","26,249.22","1.67B","-2.60%"
"07/21/2019","27,192.45","27,174.18","27,368.81","27,062.48","1.21B","0.14%"
"07/14/2019","27,154.20","27,364.69","27,398.68","27,068.79","1.13B","-0.65%"
"07/07/2019","27,332.03","26,835.64","27,333.79","26,665.57","1.14B","1.52%"
"06/30/2019","26,922.12","26,805.86","26,966.00","26,616.21","846.63M","1.21%"
"06/23/2019","26,599.96","26,727.61","26,806.52","26,465.32","1.54B","-0.45%"
"06/16/2019","26,719.13","26,108.53","26,907.37","26,049.80","1.48B","2.41%"
"06/09/2019","26,089.61","26,090.22","26,248.67","25,958.66","1.15B","0.41%"
"06/02/2019","25,983.94","24,830.16","26,072.75","24,680.57","1.38B","4.71%"
"05/26/2019","24,815.04","25,616.55","25,717.63","24,809.51","1.17B","-3.01%"
"05/19/2019","25,585.69","25,655.31","25,898.27","25,328.09","1.30B","-0.69%"
"05/12/2019","25,764.00","25,568.06","25,957.63","25,222.51","1.53B","-0.69%"
"05/05/2019","25,942.37","26,160.62","26,476.27","25,469.86","1.52B","-2.12%"
"04/28/2019","26,504.95","26,559.87","26,689.39","26,180.36","1.46B","-0.14%"
"04/21/2019","26,543.33","26,510.77","26,695.96","26,310.28","1.44B","-0.06%"
"04/14/2019","26,559.54","26,407.76","26,602.42","26,316.42","1.25B","0.56%"
"04/07/2019","26,412.30","26,312.67","26,436.68","26,062.59","1.26B","-0.05%"
"03/31/2019","26,424.99","26,075.10","26,487.57","26,071.69","1.28B","1.91%"
"03/24/2019","25,928.68","25,490.72","25,949.32","25,372.26","1.42B","1.67%"
"03/17/2019","25,502.32","25,801.88","26,109.68","25,501.45","1.69B","-1.34%"
"03/10/2019","25,848.87","25,208.00","25,927.91","25,208.00","1.87B","1.57%"
"03/03/2019","25,450.24","26,122.19","26,155.98","25,252.46","1.36B","-2.21%"
"02/24/2019","26,026.32","26,126.15","26,241.42","25,877.24","1.42B","-0.02%"
"02/17/2019","26,031.81","25,849.85","26,052.90","25,762.21","1.10B","0.57%"
"02/10/2019","25,883.25","25,142.81","25,883.72","25,009.10","1.42B","3.09%"
"02/03/2019","25,106.33","25,062.12","25,439.04","24,883.04","1.40B","0.17%"
"01/27/2019","25,063.89","24,596.98","25,193.15","24,323.94","1.95B","1.32%"
"01/20/2019","24,737.20","24,607.76","24,860.15","24,244.31","1.35B","0.12%"
"01/13/2019","24,706.35","23,880.53","24,750.22","23,765.24","1.53B","2.96%"
"01/06/2019","23,995.95","23,474.26","24,014.78","23,301.59","1.58B","2.40%"
"12/30/2018","23,433.16","23,153.94","23,518.64","22,638.41","1.43B","1.61%"
"12/23/2018","23,062.40","22,317.28","23,381.88","21,712.53","1.49B","2.75%"
"12/16/2018","22,445.37","23,986.83","24,088.08","22,396.34","2.86B","-6.87%"
"12/09/2018","24,100.51","24,360.95","24,828.29","23,881.37","1.79B","-1.18%"
